classe;caderno;grupo;codigo_cc;descricao;unid;nova;codins;insumo;unidins;tipo_insumo;nome_obra;id_ccoi_elemento;id_appropriation_composition;app_inicio;app_fim;qntd;qs;data;qntd_acum;qs_acum;ip_d;ip_acum;elemento
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;OPERADOR DE MÁQUINA LEVE (SGSP);H;MAO DE OBRA;;1968;2848;2020-11-23 10:40:00 UTC;2020-11-23 12:05:00 UTC;1,42;70;2020-11-23 11:22:30 UTC;1,42;70;0,020285714;0,020285714;1
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;PERFURADORA DIAMANTADA;H;EQUIPAMENTO;;812;2849;2020-11-23 10:40:00 UTC;2020-11-23 12:05:00 UTC;1,42;70;2020-11-23 11:22:30 UTC;1,42;70;0,020285714;0,020285714;1
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;827;29604;2020-11-23 09:13:00 UTC;2020-11-23 14:21:00 UTC;5,133333333;529,2;2020-11-23 11:47:00 UTC;5,133333333;529,2;0,009700176;0,009700176;1
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;1880;2600;2020-11-23 13:25:00 UTC;2020-11-23 15:00:00 UTC;6,33;8;2020-11-23 14:12:30 UTC;6,33;8;0,79125;0,79125;1
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1881;2601;2020-11-23 13:25:00 UTC;2020-11-23 15:00:00 UTC;7,92;8;2020-11-23 14:12:30 UTC;7,92;8;0,99;0,99;1
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;921;30884;2020-11-24 08:31:00 UTC;2020-11-24 11:05:00 UTC;2,566666667;653,18;2020-11-24 09:48:00 UTC;7,7;1182,38;0,003929494;0,006512289;2
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;OPERADOR DE MÁQUINA LEVE (SGSP);H;MAO DE OBRA;;1969;2851;2020-11-24 14:58:00 UTC;2020-11-24 15:15:00 UTC;0,28;70;2020-11-24 15:06:30 UTC;1,7;140;0,004;0,012142857;2
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;PERFURADORA DIAMANTADA;H;EQUIPAMENTO;;813;2852;2020-11-24 14:58:00 UTC;2020-11-24 15:15:00 UTC;0,28;70;2020-11-24 15:06:30 UTC;1,7;140;0,004;0,012142857;2
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;1882;2604;2020-11-25 08:35:00 UTC;2020-11-25 10:40:00 UTC;6,25;14;2020-11-25 09:37:30 UTC;12,58;22;0,446428571;0,571818182;2
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1883;2605;2020-11-25 08:35:00 UTC;2020-11-25 10:40:00 UTC;8,33;14;2020-11-25 09:37:30 UTC;16,25;22;0,595;0,738636364;2
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;1884;2608;2020-11-27 10:45:00 UTC;2020-11-27 15:15:00 UTC;13,5;22;2020-11-27 13:00:00 UTC;26,08;44;0,613636364;0,592727273;3
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1885;2609;2020-11-27 10:45:00 UTC;2020-11-27 15:15:00 UTC;18;22;2020-11-27 13:00:00 UTC;34,25;44;0,818181818;0,778409091;3
ESCAVAÇÃO, CARGA E REMOÇÃO;INFRA;MOVIMENTO DE TERRA;04-11-00;ESCAVAÇÃO MECÂNICA, CARGA E REMOÇÃO DE TERRA ATÉ A DISTÂNCIA MÉDIA DE 1,0KM;M3;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;721;3151;2020-11-30 10:13:00 UTC;2020-11-30 13:28:00 UTC;52;255,03;2020-11-30 11:50:30 UTC;52;255,03;0,203897581;0,203897581;1
ESCAVAÇÃO, CARGA E REMOÇÃO;INFRA;MOVIMENTO DE TERRA;04-11-00;ESCAVAÇÃO MECÂNICA, CARGA E REMOÇÃO DE TERRA ATÉ A DISTÂNCIA MÉDIA DE 1,0KM;M3;0;;ESCAVADEIRA HIDRÁULICA;H;EQUIPAMENTO;;722;3150;2020-11-30 10:13:00 UTC;2020-11-30 13:28:00 UTC;3,25;255,03;2020-11-30 11:50:30 UTC;3,25;255,03;0,012743599;0,012743599;1
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1922;33567;2020-11-30 12:30:00 UTC;2020-11-30 14:28:00 UTC;1,966666667;360;2020-11-30 13:29:00 UTC;1,966666667;360;0,005462963;0,005462963;1
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1920;33566;2020-11-30 12:30:00 UTC;2020-11-30 14:28:00 UTC;3,933333333;360;2020-11-30 13:29:00 UTC;3,933333333;360;0,010925926;0,010925926;1
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;764;33569;2020-11-30 12:30:00 UTC;2020-11-30 14:28:00 UTC;360;360;2020-11-30 13:29:00 UTC;360;360;1;1;1
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1923;33567;2020-11-30 12:30:00 UTC;2020-11-30 14:28:00 UTC;1,966666667;360;2020-11-30 13:29:00 UTC;3,933333333;720;0,005462963;0,005462963;2
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1921;33566;2020-11-30 12:30:00 UTC;2020-11-30 14:28:00 UTC;3,933333333;360;2020-11-30 13:29:00 UTC;7,866666667;720;0,010925926;0,010925926;2
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;765;33569;2020-11-30 12:30:00 UTC;2020-11-30 14:28:00 UTC;360;360;2020-11-30 13:29:00 UTC;720;720;1;1;2
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1950;33600;2020-12-01 07:00:00 UTC;2020-12-01 09:40:00 UTC;5,33;180;2020-12-01 08:20:00 UTC;9,263333333;900;0,029611111;0,010292593;3
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1948;33599;2020-12-01 07:00:00 UTC;2020-12-01 09:40:00 UTC;5,33;180;2020-12-01 08:20:00 UTC;13,19666667;900;0,029611111;0,014662963;3
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;792;33602;2020-12-01 07:00:00 UTC;2020-12-01 09:40:00 UTC;180;180;2020-12-01 08:20:00 UTC;900;900;1;1;3
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1951;33600;2020-12-01 07:00:00 UTC;2020-12-01 09:40:00 UTC;5,33;180;2020-12-01 08:20:00 UTC;14,59333333;1080;0,029611111;0,013512346;4
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1949;33599;2020-12-01 07:00:00 UTC;2020-12-01 09:40:00 UTC;5,33;180;2020-12-01 08:20:00 UTC;18,52666667;1080;0,029611111;0,017154321;4
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;793;33602;2020-12-01 07:00:00 UTC;2020-12-01 09:40:00 UTC;180;180;2020-12-01 08:20:00 UTC;1080;1080;1;1;4
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;OPERADOR DE MÁQUINA LEVE (SGSP);H;MAO DE OBRA;;1970;2854;2020-12-01 08:30:00 UTC;2020-12-01 11:20:00 UTC;2,83;70;2020-12-01 09:55:00 UTC;4,53;210;0,040428571;0,021571429;3
FURAÇÃO EM CONCRETO ARMADO;INFRA;RECUPERAÇÃO ESTRUTURAL DE OBRAS DE ARTE (PONTES E VIADUTOS);10-24-07;"FURAÇÃO EM CONCRETO ARMADO - DIÂMETRO 4""";CM;0;;PERFURADORA DIAMANTADA;H;EQUIPAMENTO;;814;2855;2020-12-01 08:30:00 UTC;2020-12-01 11:20:00 UTC;2,83;70;2020-12-01 09:55:00 UTC;4,53;210;0,040428571;0,021571429;3
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1936;33587;2020-12-01 07:00:00 UTC;2020-12-01 14:00:00 UTC;7;720;2020-12-01 10:30:00 UTC;21,59333333;1800;0,009722222;0,011996296;5
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1938;33586;2020-12-01 07:00:00 UTC;2020-12-01 14:00:00 UTC;14;720;2020-12-01 10:30:00 UTC;32,52666667;1800;0,019444444;0,01807037;5
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;782;33589;2020-12-01 07:00:00 UTC;2020-12-01 14:00:00 UTC;720;720;2020-12-01 10:30:00 UTC;1800;1800;1;1;5
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1937;33587;2020-12-01 07:00:00 UTC;2020-12-01 14:00:00 UTC;7;720;2020-12-01 10:30:00 UTC;28,59333333;2520;0,009722222;0,011346561;6
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1939;33586;2020-12-01 07:00:00 UTC;2020-12-01 14:00:00 UTC;14;720;2020-12-01 10:30:00 UTC;46,52666667;2520;0,019444444;0,018462963;6
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;783;33589;2020-12-01 07:00:00 UTC;2020-12-01 14:00:00 UTC;720;720;2020-12-01 10:30:00 UTC;2520;2520;1;1;6
ESCAVAÇÃO, CARGA E REMOÇÃO;INFRA;MOVIMENTO DE TERRA;04-11-00;ESCAVAÇÃO MECÂNICA, CARGA E REMOÇÃO DE TERRA ATÉ A DISTÂNCIA MÉDIA DE 1,0KM;M3;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;724;3156;2020-12-01 08:40:00 UTC;2020-12-01 13:40:00 UTC;150;490,99;2020-12-01 11:10:00 UTC;202;746,02;0,305505204;0,270770221;2
ESCAVAÇÃO, CARGA E REMOÇÃO;INFRA;MOVIMENTO DE TERRA;04-11-00;ESCAVAÇÃO MECÂNICA, CARGA E REMOÇÃO DE TERRA ATÉ A DISTÂNCIA MÉDIA DE 1,0KM;M3;0;;ESCAVADEIRA HIDRÁULICA;H;EQUIPAMENTO;;725;3155;2020-12-01 08:40:00 UTC;2020-12-01 13:40:00 UTC;5;490,99;2020-12-01 11:10:00 UTC;8,25;746,02;0,010183507;0,011058685;2
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;967;30934;2021-01-12 08:32:00 UTC;2021-01-12 12:29:00 UTC;3,95;674,73;2021-01-12 10:30:30 UTC;11,65;1857,11;0,005854194;0,006273188;3
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;835;29618;2021-01-12 09:30:00 UTC;2021-01-12 11:54:00 UTC;2,4;580,23;2021-01-12 10:42:00 UTC;14,05;2437,34;0,004136291;0,005764481;4
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;965;30924;2021-01-12 09:46:00 UTC;2021-01-12 12:30:00 UTC;2,73;672,84;2021-01-12 11:08:00 UTC;16,78;3110,18;0,004057428;0,005395186;5
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;899;30828;2021-01-12 10:06:00 UTC;2021-01-12 12:38:00 UTC;2,533333333;604,8;2021-01-12 11:22:00 UTC;19,31333333;3714,98;0,004188713;0,005198772;6
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;897;30824;2021-01-12 08:58:00 UTC;2021-01-12 13:49:00 UTC;4,85;612,36;2021-01-12 11:23:30 UTC;24,16333333;4327,34;0,007920178;0,005583877;7
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;961;30928;2021-01-12 10:20:00 UTC;2021-01-12 12:45:00 UTC;2,41;647,89;2021-01-12 11:32:30 UTC;26,57333333;4975,23;0,003719767;0,005341127;8
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;963;30926;2021-01-12 10:18:00 UTC;2021-01-12 13:33:00 UTC;3,25;661,5;2021-01-12 11:55:30 UTC;29,82333333;5636,73;0,004913076;0,005290893;9
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;901;30852;2021-01-12 10:35:00 UTC;2021-01-12 13:17:00 UTC;2,7;604,8;2021-01-12 11:56:00 UTC;32,52333333;6241,53;0,004464286;0,005210795;10
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;903;30854;2021-01-12 10:47:00 UTC;2021-01-12 13:28:00 UTC;2,683333333;604,8;2021-01-12 12:07:30 UTC;35,20666667;6846,33;0,004436728;0,005142415;11
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;917;30868;2021-01-12 10:41:00 UTC;2021-01-12 13:42:00 UTC;3,01;681,16;2021-01-12 12:11:30 UTC;38,21666667;7527,49;0,004418932;0,005076947;12
REMOÇÃO DE MATERIAL;INFRA;MOVIMENTO DE TERRA;04-60-00;REMOÇÃO DE TERRA ALÉM DO PRIMEIRO KM;M3XKM;0;;CAMINHÃO BASCULANTE;H;EQUIPAMENTO;;837;29620;2021-01-12 11:00:00 UTC;2021-01-12 13:38:00 UTC;2,633333333;595,35;2021-01-12 12:19:00 UTC;40,85;8122,84;0,004423168;0,005029029;13
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2020;PEDREIRO (SGSP);H;MAO DE OBRA;;1894;2632;2021-02-08 08:30:00 UTC;2021-02-08 11:30:00 UTC;6;16;2021-02-08 10:00:00 UTC;32,08;60;0,375;0,534666667;4
CONCRETO USINADO;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-17-00;FORNECIMENTO E APLICAÇÃO DE CONCRETO USINADO FCK=30,0MPA;M3;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1895;2633;2021-02-08 08:30:00 UTC;2021-02-08 11:30:00 UTC;18;16;2021-02-08 10:00:00 UTC;52,25;60;1,125;0,870833333;4
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1928;33575;2021-02-08 16:00:00 UTC;2021-02-08 17:00:00 UTC;3;270;2021-02-08 16:30:00 UTC;31,59333333;2790;0,011111111;0,011323775;7
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1930;33574;2021-02-08 16:00:00 UTC;2021-02-08 17:00:00 UTC;4;270;2021-02-08 16:30:00 UTC;50,52666667;2790;0,014814815;0,018109916;7
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;772;33577;2021-02-08 16:00:00 UTC;2021-02-08 17:00:00 UTC;270;270;2021-02-08 16:30:00 UTC;2790;2790;1;1;7
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1929;33575;2021-02-08 16:00:00 UTC;2021-02-08 17:00:00 UTC;3;270;2021-02-08 16:30:00 UTC;34,59333333;3060;0,011111111;0,011305011;8
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1931;33574;2021-02-08 16:00:00 UTC;2021-02-08 17:00:00 UTC;4;270;2021-02-08 16:30:00 UTC;54,52666667;3060;0,014814815;0,017819172;8
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;773;33577;2021-02-08 16:00:00 UTC;2021-02-08 17:00:00 UTC;270;270;2021-02-08 16:30:00 UTC;3060;3060;1;1;8
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1960;34331;2021-02-09 07:00:00 UTC;2021-02-09 09:20:00 UTC;7;270;2021-02-09 08:10:00 UTC;41,59333333;3330;0,025925926;0,01249049;9
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1962;34330;2021-02-09 07:00:00 UTC;2021-02-09 09:20:00 UTC;9,33;270;2021-02-09 08:10:00 UTC;63,85666667;3330;0,034555556;0,019176176;9
ARMADURA - TELA;INFRA;GALERIAS MOLDADAS, CÓRREGOS E DRENAGEM;07-12-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;804;34333;2021-02-09 07:00:00 UTC;2021-02-09 09:20:00 UTC;270;270;2021-02-09 08:10:00 UTC;3330;3330;1;1;9
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;;ARMADOR (SGSP);H;MAO DE OBRA;;1961;34331;2021-02-09 07:00:00 UTC;2021-02-09 09:20:00 UTC;7;270;2021-02-09 08:10:00 UTC;48,59333333;3600;0,025925926;0,013498148;10
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;2099;AJUDANTE (SGSP);H;MAO DE OBRA;;1963;34330;2021-02-09 07:00:00 UTC;2021-02-09 09:20:00 UTC;9,33;270;2021-02-09 08:10:00 UTC;73,18666667;3600;0,034555556;0,02032963;10
ARMADURA - TELA;INFRA;PONTES E VIADUTOS;08-23-00;FORNECIMENTO E APLICAÇÃO DE TELA DE AÇO;KG;0;27540;TELA SOLDADA NERVURADA Q-196 PAINEL (AÇO CA60 - MALHA 10 X 10 CM - FIO 5,0 MM);KG;MATERIAL;;805;34333;2021-02-09 07:00:00 UTC;2021-02-09 09:20:00 UTC;270;270;2021-02-09 08:10:00 UTC;3600;3600;1;1;10
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
AZULEJOS;EDIF;REVESTIMENTOS;11-02-29;AZULEJOS, JUNTA AMARRAÇÃO OU A PRUMO - ASSENTES COM ARGAMASSA COLANTE;M2;0;;ARGAMASSA COLANTE;KG;MATERIAL;OBRA_C;4301;20762;2021-02-09 10:15:00 UTC;2021-02-09 17:00:00 UTC;100;16,37;2021-02-09 13:37:30 UTC;100;16,37;6,108735492;6,108735492;1
